"Step","GPR - train_loss/total_loss","GPR - train_loss/total_loss__MIN","GPR - train_loss/total_loss__MAX","APPNP - train_loss/total_loss","APPNP - train_loss/total_loss__MIN","APPNP - train_loss/total_loss__MAX","2HopConv - train_loss/total_loss","2HopConv - train_loss/total_loss__MIN","2HopConv - train_loss/total_loss__MAX","NewConvForm - train_loss/total_loss","NewConvForm - train_loss/total_loss__MIN","NewConvForm - train_loss/total_loss__MAX","Base-SwinT - train_loss/total_loss","Base-SwinT - train_loss/total_loss__MIN","Base-SwinT - train_loss/total_loss__MAX"
"26","47.8648697163444","47.8648697163444","47.8648697163444","40.88336060824804","40.88336060824804","40.88336060824804","47.93404011882376","47.93404011882376","47.93404011882376","48.415198930189945","48.415198930189945","48.415198930189945","48.79359641543124","48.79359641543124","48.79359641543124"
"27","41.805382831953466","41.805382831953466","41.805382831953466","40.427790492540225","40.427790492540225","40.427790492540225","43.64591397368349","43.64591397368349","43.64591397368349","48.04445144836791","48.04445144836791","48.04445144836791","48.10915506037418","48.10915506037418","48.10915506037418"
"28","40.66887834237423","40.66887834237423","40.66887834237423","42.519474521046504","42.519474521046504","42.519474521046504","43.5161110390909","43.5161110390909","43.5161110390909","47.86128971260041","47.86128971260041","47.86128971260041","48.582356086350046","48.582356086350046","48.582356086350046"
"30","40.983224534080364","40.983224534080364","40.983224534080364","40.55825008277316","40.55825008277316","40.55825008277316","46.414512330666184","46.414512330666184","46.414512330666184","48.378234934294596","48.378234934294596","48.378234934294596","49.64856990543194","49.64856990543194","49.64856990543194"
"31","42.98356339009479","42.98356339009479","42.98356339009479","44.14062174374703","44.14062174374703","44.14062174374703","46.85897699603811","46.85897699603811","46.85897699603811","47.61097553616855","47.61097553616855","47.61097553616855","47.80533210071735","47.80533210071735","47.80533210071735"
"32","39.12504942191299","39.12504942191299","39.12504942191299","48.62771148013417","48.62771148013417","48.62771148013417","41.3779598926194","41.3779598926194","41.3779598926194","46.28030352247879","46.28030352247879","46.28030352247879","49.95510693418328","49.95510693418328","49.95510693418328"
"33","41.31621909025125","41.31621909025125","41.31621909025125","39.11648004350718","39.11648004350718","39.11648004350718","40.064866708009504","40.064866708009504","40.064866708009504","45.682487862417474","45.682487862417474","45.682487862417474","47.27961645903997","47.27961645903997","47.27961645903997"
"34","33.87992166233016","33.87992166233016","33.87992166233016","43.00703074247576","43.00703074247576","43.00703074247576","41.649261899641715","41.649261899641715","41.649261899641715","47.70024818694219","47.70024818694219","47.70024818694219","50.698386505944654","50.698386505944654","50.698386505944654"
"35","44.95946979447035","44.95946979447035","44.95946979447035","32.23386581602972","32.23386581602972","32.23386581602972","42.02328779886011","42.02328779886011","42.02328779886011","45.64666733262129","45.64666733262129","45.64666733262129","49.08964820217807","49.08964820217807","49.08964820217807"
"36","35.96058139449451","35.96058139449451","35.96058139449451","38.523737466544844","38.523737466544844","38.523737466544844","44.29291359905619","44.29291359905619","44.29291359905619","49.72957981796935","49.72957981796935","49.72957981796935","46.74295344483107","46.74295344483107","46.74295344483107"
"37","38.1967293068883","38.1967293068883","38.1967293068883","36.03916890040273","36.03916890040273","36.03916890040273","40.82425324013457","40.82425324013457","40.82425324013457","47.82071767188609","47.82071767188609","47.82071767188609","48.191025609732606","48.191025609732606","48.191025609732606"
"38","31.71898220910225","31.71898220910225","31.71898220910225","38.56407133623725","38.56407133623725","38.56407133623725","38.219865048187785","38.219865048187785","38.219865048187785","48.315007468510885","48.315007468510885","48.315007468510885","48.89170361222932","48.89170361222932","48.89170361222932"
"39","30.179766250075772","30.179766250075772","30.179766250075772","39.014930338191334","39.014930338191334","39.014930338191334","38.36403940472519","38.36403940472519","38.36403940472519","49.47783800959587","49.47783800959587","49.47783800959587","47.99440581171075","47.99440581171075","47.99440581171075"
"40","41.619838071463164","41.619838071463164","41.619838071463164","35.71999566745944","35.71999566745944","35.71999566745944","37.767475405707955","37.767475405707955","37.767475405707955","45.820591188035905","45.820591188035905","45.820591188035905","47.76251660223352","47.76251660223352","47.76251660223352"
"41","30.509584580897354","30.509584580897354","30.509584580897354","38.97207496027113","38.97207496027113","38.97207496027113","41.22338843031321","41.22338843031321","41.22338843031321","47.16496224468574","47.16496224468574","47.16496224468574","49.36503253376577","49.36503253376577","49.36503253376577"
